ISO,SONegV_Order
ram,0.0
tue,0.0
uby,2.0
nbi,0.0
mgu,1.0
kio,0.0
bqp,0.0
nrb,1.0
rao,0.0
pst,2.0
ayc,1.0
abk,2.0
arh,0.0
dju,2.0
kld,0.0
njb,0.0
kwo,0.0
mhu,0.0
txu,0.0
aqc,0.0
evn,4.0
pwg,1.0
mde,0.0
gru,2.0
drd,2.0
nmu,0.0
dgz,1.0
tlb,0.0
mbc,0.0
wbl,1.0
bbl,1.0
udi,2.0
bod,2.0
tnc,0.0
sst,0.0
snp,0.0
cof,0.0
kgq,0.0
aau,0.0
tqw,0.0
tya,1.0
yon,0.0
lvk,0.0
lbj,2.0
adn,0.0
kan,0.0
njo,5.0
gbr,0.0
mnk,0.0
cui,0.0
nnk,0.0
mcd,0.0
rgr,0.0
azb,0.0
zmr,0.0
klr,5.0
mpq,0.0
sll,0.0
diq,2.0
huu,0.0
lkt,0.0
shb,0.0
niv,0.0
osa,0.0
dhi,2.0
dau,1.0
kms,0.0
twf,2.0
nio,1.0
tir,3.0
can,3.0
kqi,0.0
urd,1.0
mch,0.0
ahk,1.0
baw,0.0
mrc,3.0
sbf,0.0
dih,0.0
mev,0.0
amp,1.0
tta,3.0
nas,0.0
cbu,0.0
mwf,1.0
ket,1.0
huz,0.0
kgj,2.0
ddo,0.0
snc,1.0
ras,2.0
wms,0.0
dim,0.0
pwa,0.0
niy,0.0
cnh,0.0
kff,0.0
pes,2.0
dds,0.0
ksi,0.0
kal,0.0
ese,0.0
miq,0.0
par,0.0
abz,0.0
zag,0.0
kvn,0.0
gaj,1.0
arr,0.0
tcy,0.0
mal,0.0
som,1.0
yuj,0.0
tig,2.0
kay,3.0
cbr,0.0
tel,0.0
lmn,0.0
zun,0.0
kwi,4.0
tpy,0.0
chp,0.0
tfr,0.0
lep,3.0
tbd,1.0
kxv,0.0
ori,0.0
tma,0.0
mva,1.0
krc,0.0
cup,0.0
mar,0.0
adi,0.0
wme,2.0
tbg,0.0
snk,0.0
awb,1.0
nmf,2.0
geb,0.0
bcq,0.0
wra,0.0
new,2.0
irk,0.0
yaq,0.0
iwm,0.0
oym,3.0
vam,0.0
nus,0.0
rab,3.0
mym,0.0
wsk,1.0
xcw,0.0
sbu,2.0
lae,2.0
xac,0.0
sat,1.0
mnr,0.0
zay,0.0
udm,0.0
agg,0.0
lez,0.0
dip,0.0
eip,1.0
apt,0.0
mhx,1.0
sad,0.0
tpj,0.0
djm,0.0
khg,2.0
was,0.0
chv,0.0
muz,1.0
wic,0.0
hmt,2.0
usa,2.0
kky,1.0
kyz,0.0
trp,0.0
bxm,0.0
suq,1.0
loy,2.0
yrk,1.0
mgp,2.0
bam,0.0
tdh,4.0
kca,1.0
aph,0.0
set,2.0
cbi,0.0
bsk,2.0
sja,0.0
cku,0.0
led,0.0
mls,0.0
kig,0.0
sbe,0.0
mrg,0.0
yuf,4.0
jiv,0.0
klb,4.0
kun,0.0
viv,1.0
duj,0.0
der,0.0
kup,2.0
tsj,5.0
cho,0.0
dni,0.0
auc,0.0
kfk,1.0
tvu,0.0
mnc,0.0
qvi,1.0
zrs,0.0
ctm,0.0
ntj,0.0
oon,0.0
spp,0.0
aey,6.0
ynd,0.0
mns,1.0
bho,1.0
kue,0.0
eme,3.0
jup,0.0
sah,0.0
cdm,0.0
tun,0.0
com,1.0
xsu,0.0
pia,1.0
mik,0.0
rma,1.0
kpx,0.0
nbc,2.0
scl,1.0
raw,1.0
tro,0.0
sei,2.0
tli,1.0
vai,0.0
jig,1.0
khk,0.0
car,0.0
knc,0.0
ssd,0.0
yii,1.0
oma,0.0
kvg,0.0
ahg,0.0
njh,2.0
mus,0.0
uig,0.0
kaa,0.0
nnm,2.0
sif,0.0
apw,4.0
waq,1.0
xra,0.0
gvf,0.0
lis,1.0
aij,1.0
unr,1.0
wal,0.0
khe,3.0
mkz,1.0
ude,1.0
wnu,1.0
kat,1.0
nav,1.0
pan,1.0
thd,1.0
tml,0.0
klq,0.0
kmn,2.0
bej,2.0
klu,0.0
sid,1.0
naq,0.0
bfd,0.0
wao,0.0
gah,0.0
des,0.0
kbx,0.0
yrb,0.0
xnz,0.0
mdw,0.0
prn,2.0
irn,0.0
grt,0.0
chl,1.0
peb,0.0
kxa,0.0
kgg,0.0
nyi,1.0
bll,3.0
bgr,0.0
urb,0.0
tnm,3.0
skf,0.0
ain,1.0
chb,0.0
tae,3.0
bqc,0.0
sgw,2.0
cap,0.0
wan,0.0
asm,2.0
xsr,2.0
kpy,3.0
aly,0.0
hto,0.0
ava,0.0
ijc,0.0
yaa,0.0
naf,1.0
apy,0.0
wrb,0.0
myp,0.0
guj,1.0
mtg,1.0
pbb,0.0
tbc,1.0
agb,2.0
nab,0.0
