ISO,Verb-Initial_with_Preverbal_Negative
mbb,0.0
tbl,0.0
cyb,1.0
tsg,0.0
kij,0.0
aty,0.0
btx,0.0
tcf,1.0
ppl,0.0
mzp,0.0
plt,0.0
cco,1.0
tah,0.0
bnc,0.0
squ,0.0
rug,0.0
aes,0.0
kln,1.0
haw,0.0
ctp,0.0
pbi,2.0
mcb,0.0
ote,0.0
zaw,1.0
gil,0.0
dru,0.0
kto,0.0
num,0.0
qui,0.0
kzw,2.0
fla,0.0
pwn,0.0
tuv,1.0
hur,0.0
tzj,0.0
hil,0.0
mas,5.0
ign,0.0
taq,3.0
kut,0.0
tzo,0.0
shy,0.0
shs,0.0
tay,0.0
caq,0.0
cle,0.0
did,0.0
ikx,0.0
mie,0.0
yad,0.0
hei,0.0
guc,0.0
bdr,0.0
xed,2.0
tkl,0.0
one,0.0
dhv,0.0
rmw,3.0
rap,3.0
sza,0.0
bbc,0.0
thp,0.0
brm,8.0
mig,0.0
maq,2.0
zpq,0.0
trv,0.0
mil,0.0
niu,0.0
agt,0.0
apc,0.0
ifb,0.0
ncg,0.0
duo,0.0
cpa,1.0
arb,0.0
teu,0.0
cab,0.0
lgu,0.0
blc,0.0
pko,7.0
mio,0.0
trc,0.0
cak,4.0
yap,0.0
aoi,3.0
tee,0.0
kdj,5.0
brg,0.0
ary,6.0
mkf,4.0
nlg,0.0
cha,0.0
chq,0.0
tsi,0.0
kgo,4.0
ood,0.0
kkk,0.0
gub,1.0
qum,0.0
clo,0.0
hia,2.0
kab,4.0
hoa,0.0
wya,3.0
myh,0.0
zai,0.0
tob,1.0
lac,0.0
zoc,5.0
pag,0.0
gdq,2.0
mmn,0.0
